start_timestamp,end_timestamp,reserve_price
1663221600000,1671080400000,1903352826.0558064
1665813600000,1673758800000,417654152.46704036
1668492000000,1676437200000,628473469.5249579
1671084000000,1678856400000,1461967856.6439226
1673762400000,1681534800000,3173856295.1386147
1676440800000,1684126800000,1256557126.6198514
1678860000000,1686805200000,5746442099.071029
1681538400000,1689397200000,1798043525.5298307
1684130400000,1692075600000,1686448618.480156
1686808800000,1694754000000,2503390175.0107408
1689400800000,1697346000000,1321218193.8669763
1692079200000,1700024400000,3909452.6714483444
1694757600000,1702616400000,5898878291.190239
1697349600000,1705294800000,6542228758.30127
1700028000000,1707973200000,52717007.54223334
1702620000000,1710478800000,3247841219.97375
1705298400000,1713157200000,6239636376.993366
