start_timestamp,end_timestamp,reserve_price
1663221600000,1671080400000,1753354319.4443226
1665813600000,1673758800000,686220383.5415992
1668492000000,1676437200000,1330066775.2384214
1671084000000,1678856400000,2016836305.8258672
1673762400000,1681534800000,3402744746.087266
1676440800000,1684126800000,3569928841.7432714
1678860000000,1686805200000,5352380864.81911
1681538400000,1689397200000,1583635171.6174486
1684130400000,1692075600000,1435790115.2298515
1686808800000,1694754000000,2614924251.26901
1689400800000,1697346000000,1194127324.7443597
1692079200000,1700024400000,302593496.4677703
1694757600000,1702616400000,8215586395.630951
1697349600000,1705294800000,5923337608.289042
1700028000000,1707973200000,381117177.0745469
1702620000000,1710478800000,4908631251.211636
1705298400000,1713157200000,4953875261.067268
1710482400000,1718427600000,234192631.81914178
1715752800000,1721160000000,296085660.6065462
