start_timestamp,end_timestamp,reserve_price
1663221600000,1671080400000,1850524400.0837102
1665813600000,1673758800000,404594468.76733387
1668492000000,1676437200000,657223790.5309051
1671084000000,1678856400000,1129957298.6773963
1673762400000,1681534800000,2943911023.4647245
1676440800000,1684126800000,1536937977.4038968
1678860000000,1686805200000,5746442099.071029
1681538400000,1689397200000,4791808338.159405
1684130400000,1692075600000,1579223978.7984679
1686808800000,1694754000000,2417520221.617367
1689400800000,1697346000000,1264899589.716453
1692079200000,1700024400000,0
1694757600000,1702616400000,7963236698.270296
1697349600000,1705294800000,6143728706.6329565
1700028000000,1707973200000,27766018.765876997
1702620000000,1710478800000,3203997227.5297427
1705298400000,1713157200000,6224082123.464279
1707976800000,1715749200000,1207129089.2924588
1710482400000,1718427600000,206096355.55395302
