start_timestamp,end_timestamp,reserve_price
1663221600000,1671080400000,4331067.470206083
1665813600000,1673758800000,4321784.020239558
1668492000000,1676437200000,4320402.0681297835
1671084000000,1678856400000,4314135.919027478
1673762400000,1681534800000,4320357.245396147
1676440800000,1684126800000,4307708.519305828
1678860000000,1686805200000,4322304.45991621
1681538400000,1689397200000,4309682.009456425
1684130400000,1692075600000,4308136.405302647
1686808800000,1694754000000,4313754.562716566
1689400800000,1697346000000,4319556.306592471
1692079200000,1700024400000,4307603.039633626
1694757600000,1702616400000,4313469.901406684
1697349600000,1705294800000,4311150.573301969
1700028000000,1707973200000,4323832.879117348
1702620000000,1710478800000,4330255.008065983
1705298400000,1713157200000,4332967.474652717
1707976800000,1715749200000,4337567.408545605
1710482400000,1718427600000,4317232.736195578
1713160800000,1721019600000,4319745.85256834
1715752800000,1721160000000,4318252.765911077
