start_timestamp,end_timestamp,reserve_price
1663221600000,1671080400000,1783977891.365782
1665813600000,1673758800000,419572545.5911057
1668492000000,1676437200000,770857860.2056314
1671084000000,1678856400000,1382115162.4448438
1673762400000,1681534800000,3219658173.7449093
1676440800000,1684126800000,1324799393.0025194
1678860000000,1686805200000,5746442099.071029
1681538400000,1689397200000,3529680739.6260805
1684130400000,1692075600000,1713392232.6225665
1686808800000,1694754000000,2515301466.9228663
1689400800000,1697346000000,1321188513.512618
1692079200000,1700024400000,0
1694757600000,1702616400000,6028894530.38078
1697349600000,1705294800000,6479976964.099612
1700028000000,1707973200000,47015075.938114986
1702620000000,1710478800000,2975260326.924173
1705298400000,1713157200000,6155292138.906872
1707976800000,1715749200000,1238693314.0839796
1710482400000,1718427600000,267108383.53733838
