start_timestamp,end_timestamp,reserve_price
1663221600000,1671080400000,1801313903.8119652
1665813600000,1673758800000,421616326.94671816
1668492000000,1676437200000,701608074.4788232
1671084000000,1678856400000,1463526367.219553
1673762400000,1681534800000,3258828861.91226
1676440800000,1684126800000,1011908101.9826621
1678860000000,1686805200000,5746442099.071029
1681538400000,1689397200000,2558176448.832599
1684130400000,1692075600000,1646368032.5692458
1686808800000,1694754000000,2522161539.6370435
1689400800000,1697346000000,1325751825.4165177
1692079200000,1700024400000,0
1694757600000,1702616400000,5905548174.953876
1697349600000,1705294800000,6463449566.10826
1700028000000,1707973200000,43094498.94679549
1702620000000,1710478800000,3088673532.803427
1705298400000,1713157200000,6100994690.468853
