start_timestamp,end_timestamp,reserve_price
1663221600000,1671080400000,1880463878.3541472
1665813600000,1673758800000,425333141.1553821
1668492000000,1676437200000,655855085.8721923
1671084000000,1678856400000,1373196831.8159163
1673762400000,1681534800000,3227906577.716691
1676440800000,1684126800000,1054633832.4504259
1678860000000,1686805200000,5746442099.071029
1681538400000,1689397200000,1971812031.5535321
1684130400000,1692075600000,1655800578.2893167
1686808800000,1694754000000,2514094944.2053533
1689400800000,1697346000000,1304883480.2940948
1692079200000,1700024400000,0
1694757600000,1702616400000,5947262671.9299
1697349600000,1705294800000,6563733880.889224
1700028000000,1707973200000,68002796.7189592
1702620000000,1710478800000,3541856058.737427
1705298400000,1713157200000,6273032441.1614895
