start_timestamp,end_timestamp,reserve_price
1663221600000,1671080400000,1393188387.0275698
1665813600000,1673758800000,194900953.76030213
1668492000000,1676437200000,460781025.4534033
1671084000000,1678856400000,1037338082.6301919
1673762400000,1681534800000,2765794928.385252
1676440800000,1684126800000,169186373.85870194
1678860000000,1686805200000,5746442099.071029
1681538400000,1689397200000,1164111360.2684767
1684130400000,1692075600000,1453190934.6536634
1686808800000,1694754000000,2197068946.075444
1689400800000,1697346000000,1277582565.8566902
1692079200000,1700024400000,0
1694757600000,1702616400000,11354290086.427599
1697349600000,1705294800000,5253293502.02137
1700028000000,1707973200000,0
1702620000000,1710478800000,1017083086.49904
1705298400000,1713157200000,5322890162.440594
1707976800000,1715749200000,1124199011.0435445
1710482400000,1718427600000,98518549.37169653
1713160800000,1721019600000,522076856.4765783
1715752800000,1721160000000,463316588.17489284
